uf,idade_num,sexo_Homens,sexo_Mulheres,cor_Amarela,cor_Branca,cor_Indígena,cor_Parda,cor_Preta
PR,-0.6738,0.0699,-0.0699,0.2847,0.1878,-0.3671,-0.0192,-0.0862
RS,-0.6507,0.0476,-0.0476,0.1962,0.2347,-0.4882,0.0192,0.0381
RJ,-0.8318,-0.0298,0.0298,0.0862,0.2008,-0.1046,-0.0321,-0.1504
CE,-0.9211,-0.1613,0.1613,0.0098,0.1708,-0.092,0.016,-0.1045
SP,-0.7023,0.0443,-0.0443,0.2753,0.1719,-0.1892,-0.1156,-0.1424
MA,-0.8543,-0.0487,0.0487,0.1607,0.1983,-0.4033,0.0485,-0.0042
GO,-0.8024,-0.0431,0.0431,0.1876,0.1451,-0.1204,-0.0072,-0.2052
BA,-0.9019,-0.0877,0.0877,0.1566,0.0931,-0.1752,-0.0161,-0.0583
MG,-0.7415,-0.0359,0.0359,0.21,0.2232,-0.3959,0.0282,-0.0656
PE,-0.9202,-0.1331,0.1331,0.1175,0.1414,-0.1687,-0.0235,-0.0667
SC,-0.6821,0.0579,-0.0579,0.2282,0.205,-0.3701,-0.0296,-0.0335
PI,-0.9377,-0.1445,0.1445,-0.0162,0.1514,-0.0708,0.0177,-0.0821
ES,-0.7778,0.013,-0.013,0.1657,0.1583,-0.1707,-0.005,-0.1483
RN,-0.8921,-0.2018,0.2018,0.0639,0.1935,-0.2191,0.0358,-0.074
MT,-0.6398,0.0699,-0.0699,0.2714,0.1952,-0.4962,0.0649,-0.0353
PA,-0.7535,-0.0222,0.0222,0.2878,0.1706,-0.4257,0.0324,-0.0651
SE,-0.9222,-0.143,0.143,0.0765,0.0519,0.0783,-0.0709,-0.1359
AM,-0.6792,0.0363,-0.0363,0.2837,0.176,-0.5059,0.0872,-0.0409
TO,-0.7854,0.0357,-0.0357,0.1834,0.1836,-0.3224,0.052,-0.0966
AL,-0.9416,-0.0942,0.0942,0.1084,0.1385,-0.0998,-0.0154,-0.1317
PB,-0.9202,-0.167,0.167,0.099,0.1453,-0.1198,-0.006,-0.1185
RO,-0.7254,0.0471,-0.0471,0.217,0.1435,-0.3676,0.0533,-0.0461
MS,-0.6559,0.0388,-0.0388,0.2799,0.1784,-0.4686,0.0547,-0.0444
AC,-0.7928,0.0266,-0.0266,0.1814,0.1892,-0.4395,0.0865,-0.0176
RR,-0.6253,-0.022,0.022,0.1984,0.2499,-0.6154,0.1482,0.0188
AP,-0.7889,0.0466,-0.0466,0.1839,0.134,-0.3151,0.0168,-0.0197
DF,-0.7156,-0.0339,0.0339,0.258,0.1891,-0.199,-0.0411,-0.2071
