ano,semestre,regiao,indice_desigualdade_raca,taxa_media
2023,1,Centro-Oeste,4.1426,93.3185
2023,1,Nordeste,2.7605,85.3725
2023,1,Norte,5.1153,90.6615
2023,1,Sudeste,3.0235,95.1339
2023,1,Sul,4.0412,94.4786
2023,2,Centro-Oeste,4.5059,93.5866
2023,2,Nordeste,3.1175,85.0573
2023,2,Norte,5.2829,90.3572
2023,2,Sudeste,2.5979,95.4022
2023,2,Sul,3.5423,94.8363
2024,1,Centro-Oeste,4.4151,93.5854
2024,1,Nordeste,3.4654,85.1996
2024,1,Norte,6.0181,89.6503
2024,1,Sudeste,2.2794,95.6813
2024,1,Sul,3.4839,94.7674
2024,2,Centro-Oeste,4.5433,93.327
2024,2,Nordeste,3.2496,84.9626
2024,2,Norte,5.1573,90.7235
2024,2,Sudeste,2.4886,95.2859
2024,2,Sul,3.1158,94.9032
